Wall time,Step,Value
1765271553.2086334,0,5.581889629364014
1765273004.0917008,10,6.626242637634277
1765274454.666194,20,7.725338459014893
1765275911.1459348,30,8.059310913085938
1765277360.426041,40,6.6448211669921875
1765278820.7924035,50,5.631669998168945
1765280274.9035816,60,5.565165996551514
1765281730.5916543,70,5.589408874511719
1765283192.8805056,80,5.63631534576416
1765284649.2121973,90,5.699008464813232
1765286110.9488788,100,5.7692389488220215
1765287555.9027011,110,5.838643550872803
1765289001.774672,120,5.9051618576049805
1765290446.9566562,130,5.9666008949279785
1765291893.631515,140,6.031315803527832
1765293346.530466,150,6.088764190673828
1765294793.5020525,160,6.13836669921875
1765296237.1388724,170,6.174801826477051
1765297684.5042894,180,6.211949348449707
1765299129.9922307,190,6.2384843826293945
1765300584.9917164,200,6.261338233947754
1765302030.7111151,210,6.275640964508057
1765303478.6482155,220,6.275979042053223
1765304926.250774,230,6.278477191925049
1765306374.842215,240,6.277720928192139
1765307830.337688,250,6.2768731117248535
1765309280.051941,260,6.273778915405273
1765310725.8980026,270,6.270133972167969
1765312175.4265335,280,6.26951789855957
1765313622.874561,290,6.269498348236084
1765314978.7852845,299,6.268407821655273
